0,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000000.png,2,4,4.0,0.75
1,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000001.png,2,4,4.0,0.75
2,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000002.png,2,4,4.0,0.75
3,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000003.png,2,4,4.0,0.75
4,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000004.png,2,4,4.0,0.75
5,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000005.png,2,4,4.0,0.75
6,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000006.png,2,5,5.0,0.75
7,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000007.png,2,4,4.0,0.75
8,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000008.png,2,4,4.0,0.75
9,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000009.png,2,4,4.0,0.75
10,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000010.png,2,4,4.0,0.75
11,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000011.png,2,4,4.0,0.75
12,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000012.png,2,4,4.0,0.75
13,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000013.png,2,4,4.0,0.75
14,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000014.png,2,4,4.0,0.75
15,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000015.png,2,4,4.0,0.75
16,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000016.png,2,4,4.0,0.75
17,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000017.png,2,4,4.0,0.75
18,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000018.png,2,4,4.0,0.75
19,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000019.png,2,4,4.0,0.75
20,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000020.png,2,5,5.0,0.75
21,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000021.png,2,4,4.0,0.75
22,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000022.png,2,4,4.0,0.75
23,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000023.png,2,4,4.0,0.75
24,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000024.png,2,4,4.0,0.75
25,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000025.png,2,4,4.0,0.75
26,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000026.png,2,4,4.0,0.75
27,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000027.png,2,4,4.0,0.75
28,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000028.png,2,4,4.0,0.75
29,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000029.png,2,4,4.0,0.75
30,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000030.png,2,4,4.0,0.75
31,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000031.png,2,4,4.0,0.75
32,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000032.png,2,4,4.0,0.75
33,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000033.png,2,4,4.0,0.75
34,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000034.png,2,4,4.0,0.75
35,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000035.png,2,4,4.0,0.75
36,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000036.png,2,4,4.0,0.75
37,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000037.png,2,4,4.0,0.75
38,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000038.png,2,4,4.0,0.75
39,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000039.png,2,4,4.0,0.75
40,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000040.png,2,4,4.0,0.75
41,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000041.png,2,4,4.0,0.75
42,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000042.png,2,4,4.0,0.75
43,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000043.png,2,4,4.0,0.75
44,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000044.png,2,4,4.0,0.75
45,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000045.png,2,4,4.0,0.75
46,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000046.png,2,5,5.0,0.75
47,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000047.png,2,4,4.0,0.75
48,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000048.png,2,4,4.0,0.75
49,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000049.png,2,4,4.0,0.75
50,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000050.png,2,4,4.0,0.75
51,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000051.png,2,4,4.0,0.75
52,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000052.png,2,4,4.0,0.75
53,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000053.png,2,4,4.0,0.75
54,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000054.png,2,4,4.0,0.75
55,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000055.png,2,4,4.0,0.75
56,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000056.png,2,4,4.0,0.75
57,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000057.png,2,4,4.0,0.75
58,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000058.png,2,4,4.0,0.75
59,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000059.png,2,4,4.0,0.75
60,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000060.png,2,5,5.0,0.75
61,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000061.png,2,4,4.0,0.75
62,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000062.png,2,4,4.0,0.75
63,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000063.png,2,4,4.0,0.75
64,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000064.png,2,4,4.0,0.75
65,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000065.png,2,4,4.0,0.75
66,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000066.png,2,4,4.0,0.75
67,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000067.png,2,5,5.0,0.75
68,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000068.png,2,4,4.0,0.75
69,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000069.png,2,4,4.0,0.75
70,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000070.png,2,4,4.0,0.75
71,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000071.png,2,4,4.0,0.75
72,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000072.png,2,4,4.0,0.75
73,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000073.png,2,4,4.0,0.75
74,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000074.png,2,4,4.0,0.75
75,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000075.png,2,4,4.0,0.75
76,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000076.png,2,4,4.0,0.75
77,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000077.png,2,4,4.0,0.75
78,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000078.png,2,4,4.0,0.75
79,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000079.png,2,4,4.0,0.75
80,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000080.png,2,4,4.0,0.75
81,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000081.png,2,4,4.0,0.75
82,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000082.png,2,4,4.0,0.75
83,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000083.png,2,4,4.0,0.75
84,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000084.png,2,5,5.0,0.75
85,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000085.png,2,4,4.0,0.75
86,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000086.png,2,4,4.0,0.75
87,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000087.png,2,4,4.0,0.75
88,facebase/data/Adience_256x256_resnet50_imagenet_noisy_cjs/images/img0000088.png,2,4,4.0,0.75
